Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0500000US01001,1001,"Autauga County, Alabama",54571,54574,54754,55208,54936,54713,54876,54838,55242,55443,55601
0500000US01003,1003,"Baldwin County, Alabama",182265,182264,183111,186540,190143,194886,199189,202995,207712,212619,218022
0500000US01005,1005,"Barbour County, Alabama",27457,27457,27330,27350,27174,26944,26758,26294,25819,25158,24881
0500000US01007,1007,"Bibb County, Alabama",22915,22920,22872,22747,22664,22516,22541,22562,22576,22555,22400
0500000US01009,1009,"Blount County, Alabama",57322,57321,57373,57554,57570,57611,57521,57522,57517,57827,57840
0500000US01011,1011,"Bullock County, Alabama",10914,10911,10878,10677,10607,10551,10665,10400,10381,10176,10138
0500000US01013,1013,"Butler County, Alabama",20947,20943,20942,20878,20687,20374,20343,20176,20029,19898,19680
0500000US01015,1015,"Calhoun County, Alabama",118572,118594,118477,117797,117257,116541,115995,115536,115018,114664,114277
0500000US01017,1017,"Chambers County, Alabama",34215,34171,34122,34030,34104,34143,33980,34007,33771,33758,33615
0500000US01019,1019,"Cherokee County, Alabama",25989,25989,25974,25994,25963,26025,25902,25739,25776,25815,26032
0500000US01021,1021,"Chilton County, Alabama",43643,43630,43653,43687,43582,43634,43769,43717,43896,44117,44153
0500000US01023,1023,"Choctaw County, Alabama",13859,13858,13849,13607,13561,13396,13317,13233,13049,12935,12841
0500000US01025,1025,"Clarke County, Alabama",25833,25833,25765,25582,25154,25122,24865,24703,24349,24097,23920
0500000US01027,1027,"Clay County, Alabama",13932,13930,13897,13686,13432,13404,13440,13413,13393,13367,13275
0500000US01029,1029,"Cleburne County, Alabama",14972,14972,15004,14928,14889,14976,15025,14917,14853,14906,14987
0500000US01031,1031,"Coffee County, Alabama",49948,49952,50205,50435,51136,50677,50655,50952,51145,51777,51909
0500000US01033,1033,"Colbert County, Alabama",54428,54428,54525,54535,54572,54533,54468,54370,54367,54509,54762
0500000US01035,1035,"Conecuh County, Alabama",13228,13233,13234,13192,13044,12911,12679,12680,12501,12435,12277
0500000US01037,1037,"Coosa County, Alabama",11539,11758,11782,11487,11347,11256,11038,10938,10826,10757,10715
0500000US01039,1039,"Covington County, Alabama",37765,37766,37812,38019,37804,37812,37756,37551,37382,37078,36986
0500000US01041,1041,"Crenshaw County, Alabama",13906,13898,13874,13899,13921,13854,13859,13857,13922,13861,13824
0500000US01043,1043,"Cullman County, Alabama",80406,80406,80454,80401,80273,80688,81067,81764,82456,82836,83442
0500000US01045,1045,"Dale County, Alabama",50251,50249,50390,50112,50284,49772,49417,49349,49301,49254,48956
0500000US01047,1047,"Dallas County, Alabama",43820,43818,43860,43256,42795,41983,41562,40948,40092,39235,38310
0500000US01049,1049,"DeKalb County, Alabama",71109,71116,71159,71352,70937,70911,70999,71112,71101,71404,71385
0500000US01051,1051,"Elmore County, Alabama",79303,79293,79577,80009,80216,80569,80568,80924,81263,81416,81887
0500000US01053,1053,"Escambia County, Alabama",38319,38320,38344,38201,38023,37763,37738,37665,37488,36999,36748
0500000US01055,1055,"Etowah County, Alabama",104430,104427,104455,104358,104273,103883,103407,103003,102849,102937,102501
0500000US01057,1057,"Fayette County, Alabama",17241,17232,17227,17047,16941,16819,16768,16693,16555,16474,16433
0500000US01059,1059,"Franklin County, Alabama",31704,31709,31745,31771,31689,31552,31561,31541,31654,31590,31363
0500000US01061,1061,"Geneva County, Alabama",26790,26787,26782,26759,26927,26682,26597,26636,26498,26410,26314
0500000US01063,1063,"Greene County, Alabama",9045,9043,8995,8905,8850,8749,8585,8509,8483,8318,8233
0500000US01065,1065,"Hale County, Alabama",15760,15762,15745,15358,15360,15247,15047,15018,14835,14809,14726
0500000US01067,1067,"Henry County, Alabama",17302,17300,17298,17377,17156,17132,17082,17106,17083,17140,17209
0500000US01069,1069,"Houston County, Alabama",101547,101554,101790,102470,103365,103638,104156,104268,104239,104373,104722
0500000US01071,1071,"Jackson County, Alabama",53227,53224,53183,53209,53077,52958,52562,52218,52048,51907,51736
0500000US01073,1073,"Jefferson County, Alabama",658466,658506,658158,657973,657967,659196,659918,660370,660326,659546,659300
0500000US01075,1075,"Lamar County, Alabama",14564,14564,14494,14287,14245,14210,14067,13925,13927,13902,13844
0500000US01077,1077,"Lauderdale County, Alabama",92709,92709,92736,92606,92664,92706,93013,92477,92457,92591,92387
0500000US01079,1079,"Lawrence County, Alabama",34339,34339,34344,34049,33807,33577,33448,33138,33233,33077,32957
0500000US01081,1081,"Lee County, Alabama",140247,140300,140806,144130,148581,151831,154545,157009,159297,161641,163941
0500000US01083,1083,"Limestone County, Alabama",82782,82782,83173,85542,87313,88910,90596,91571,92841,94076,96174
0500000US01085,1085,"Lowndes County, Alabama",11299,11296,11289,11139,10853,10665,10498,10353,10253,10104,9974
0500000US01087,1087,"Macon County, Alabama",21452,21448,21505,21281,20611,20026,19648,19306,19064,18811,18439
0500000US01089,1089,"Madison County, Alabama",334811,334811,336093,339527,342713,346633,349807,352989,356821,361665,366519
0500000US01091,1091,"Marengo County, Alabama",21027,21038,20946,20651,20367,20114,19980,19760,19516,19366,19066
0500000US01093,1093,"Marion County, Alabama",30776,30776,30817,30651,30487,30228,30202,30123,29964,29771,29763
0500000US01095,1095,"Marshall County, Alabama",93019,93019,93124,93892,94268,94370,94277,94606,95123,95609,96109
0500000US01097,1097,"Mobile County, Alabama",412992,413145,413319,413242,413922,414210,414590,414935,415499,414515,413757
0500000US01099,1099,"Monroe County, Alabama",23068,23067,23007,22796,22582,22171,21927,21717,21545,21302,21067
0500000US01101,1101,"Montgomery County, Alabama",229363,229378,229510,229168,228861,228173,227546,227244,227072,227079,225763
0500000US01103,1103,"Morgan County, Alabama",119490,119486,119604,120013,120092,119574,119458,119281,118970,118811,119089
0500000US01105,1105,"Perry County, Alabama",10591,10579,10567,10455,10171,10005,9804,9638,9528,9319,9140
0500000US01107,1107,"Pickens County, Alabama",19746,19746,19749,19354,19312,19305,20283,20776,20309,20182,19938
0500000US01109,1109,"Pike County, Alabama",32899,32895,32963,33017,33210,33713,33197,33522,33521,33435,33338
0500000US01111,1111,"Randolph County, Alabama",22913,22916,22937,22743,22534,22548,22355,22598,22508,22683,22725
0500000US01113,1113,"Russell County, Alabama",52947,52947,53307,54831,57482,59133,59211,58837,58208,57028,57781
0500000US01115,1115,"St. Clair County, Alabama",83593,83345,83566,83963,84748,85805,85995,86546,87323,87976,88690
0500000US01117,1117,"Shelby County, Alabama",195085,195313,196095,197992,200964,204108,206356,209084,211430,213729,215707
0500000US01119,1119,"Sumter County, Alabama",13763,13763,13730,13491,13441,13396,13275,13206,12974,12780,12691
0500000US01121,1121,"Talladega County, Alabama",82291,82283,82100,81777,82078,81513,81450,81055,80468,80022,79828
0500000US01123,1123,"Tallapoosa County, Alabama",41616,41618,41476,41397,41044,41028,40887,40611,40570,40613,40497
0500000US01125,1125,"Tuscaloosa County, Alabama",194656,194668,194996,196719,198794,201084,203097,204736,206614,207709,208911
0500000US01127,1127,"Walker County, Alabama",67023,67023,66997,66577,66096,65768,65336,64933,64548,63935,63711
0500000US01129,1129,"Washington County, Alabama",17581,17581,17627,17354,17146,16897,16868,16828,16610,16532,16378
0500000US01131,1131,"Wilcox County, Alabama",11670,11667,11564,11442,11308,11152,10953,10903,10851,10712,10627
0500000US01133,1133,"Winston County, Alabama",24484,24488,24412,24358,24190,24186,24137,23929,23906,23745,23660
0500000US02013,2013,"Aleutians East Borough, Alaska",3141,3141,3166,3260,3295,3345,3348,3381,3388,3495,3515
0500000US02016,2016,"Aleutians West Census Area, Alaska",5561,5561,5560,5581,5675,5777,5822,5781,5698,5726,5723
0500000US02020,2020,"Anchorage Municipality, Alaska",291826,291829,293310,296154,298233,301155,299927,297613,297216,294264,291538
0500000US02050,2050,"Bethel Census Area, Alaska",17013,17013,17085,17415,17654,17847,17933,17955,18019,18079,18216
0500000US02060,2060,"Bristol Bay Borough, Alaska",997,997,1002,1030,980,952,949,905,903,870,877
0500000US02068,2068,"Denali Borough, Alaska",1826,1822,1835,1872,1908,1942,1915,1927,2039,2066,2059
0500000US02070,2070,"Dillingham Census Area, Alaska",4847,4847,4850,4948,4951,4979,4983,4987,4970,4935,5000
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",97581,97585,98260,98104,100305,100928,99256,99630,100683,99725,98971
0500000US02100,2100,"Haines Borough, Alaska",2508,2508,2501,2573,2577,2558,2555,2516,2527,2518,2474
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",2150,2109,2113,2090,2120,2121,2103,2137,2128,2139,2151
0500000US02110,2110,"Juneau City and Borough, Alaska",31275,31275,31386,32152,32378,32587,32476,32601,32400,32061,32113
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",55400,55400,55561,56302,56906,57015,57565,58029,58452,58522,58533
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",13477,13519,13566,13665,13723,13716,13801,13706,13714,13882,13918
0500000US02150,2150,"Kodiak Island Borough, Alaska",13592,13606,13650,13806,14038,14089,13904,13766,13710,13519,13345
0500000US02158,2158,"Kusilvak Census Area, Alaska",7459,7459,7465,7648,7791,7972,8098,8187,8174,8230,8303
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",1631,1635,1639,1648,1647,1665,1645,1592,1598,1607,1587
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",88995,88992,89735,91716,93670,95877,98104,101068,104157,106383,107610
0500000US02180,2180,"Nome Census Area, Alaska",9492,9492,9544,9775,9819,9845,9803,9885,9961,9968,10008
0500000US02185,2185,"North Slope Borough, Alaska",9430,9430,9476,9550,9692,9786,9769,9795,9718,9831,9872
0500000US02188,2188,"Northwest Arctic Borough, Alaska",7523,7523,7559,7705,7707,7725,7771,7771,7689,7767,7671
0500000US02195,2195,"Petersburg Borough, Alaska",3815,3207,3219,3254,3278,3293,3265,3259,3270,3259,3221
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",5559,6170,6213,6374,6421,6443,6460,6505,6516,6469,6422
0500000US02220,2220,"Sitka City and Borough, Alaska",8881,8881,8881,8886,9019,8973,8839,8778,8738,8686,8647
0500000US02230,2230,"Skagway Municipality, Alaska",968,968,968,962,999,1025,1053,1087,1132,1162,1148
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",7029,7029,7061,7148,7170,6984,6922,6804,6849,6885,6918
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",9636,9636,9655,9738,9730,9776,9475,9322,9318,9224,9164
0500000US02275,2275,"Wrangell City and Borough, Alaska",2369,2365,2371,2395,2425,2455,2447,2459,2501,2511,2503
0500000US02282,2282,"Yakutat City and Borough, Alaska",662,662,662,656,664,651,655,635,613,607,604
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",5588,5588,5613,5631,5624,5564,5464,5466,5423,5396,5327
0500000US04001,4001,"Apache County, Arizona",71518,71517,71832,72186,72238,72341,71820,71022,71403,71545,71818
0500000US04003,4003,"Cochise County, Arizona",131346,131357,131822,133111,132026,129608,127352,126502,125782,124990,126770
0500000US04005,4005,"Coconino County, Arizona",134421,134431,134618,134269,136152,136713,137583,139024,140515,141107,142854
0500000US04007,4007,"Gila County, Arizona",53597,53594,53571,53444,53003,53022,53070,53006,53404,53629,53889
0500000US04009,4009,"Graham County, Arizona",37220,37219,37159,37134,37024,37454,38124,37873,37823,37501,38072
0500000US04011,4011,"Greenlee County, Arizona",8437,8437,8332,8577,8756,8908,9341,9575,9651,9468,9483
0500000US04012,4012,"La Paz County, Arizona",20489,20489,20497,20608,20530,20532,20529,20483,20661,20735,21098
0500000US04013,4013,"Maricopa County, Arizona",3817117,3817359,3825191,3875065,3948225,4019019,4095508,4175049,4258603,4329580,4410824
0500000US04015,4015,"Mohave County, Arizona",200186,200182,200315,202801,203356,203158,203474,204661,205521,207114,209550
0500000US04017,4017,"Navajo County, Arizona",107449,107488,107696,107545,107314,107145,107724,107688,108523,109144,110445
0500000US04019,4019,"Pima County, Arizona",980263,980263,981653,988407,993215,997437,1004675,1009737,1017624,1027502,1039073
0500000US04021,4021,"Pinal County, Arizona",375770,375768,379547,378760,382828,385656,395915,406073,417363,432114,447138
0500000US04023,4023,"Santa Cruz County, Arizona",47420,47420,47420,47684,47396,46991,46703,46602,46468,46636,46511
0500000US04025,4025,"Yavapai County, Arizona",211033,211014,210983,211023,211977,214426,217739,220845,224591,228055,231993
0500000US04027,4027,"Yuma County, Arizona",195751,195750,197138,202883,202589,202589,204283,205456,207520,209756,212128
0500000US05001,5001,"Arkansas County, Arkansas",19019,19007,19011,18872,18962,18754,18476,18325,18145,17904,17769
0500000US05003,5003,"Ashley County, Arkansas",21853,21845,21828,21671,21516,21278,20959,20838,20525,20319,20046
0500000US05005,5005,"Baxter County, Arkansas",41513,41513,41511,41347,41082,40984,40884,41136,41139,41316,41619
0500000US05007,5007,"Benton County, Arkansas",221339,221351,222592,229154,234949,239485,244882,251673,259234,266504,272608
0500000US05009,5009,"Boone County, Arkansas",36903,36910,36882,37070,37317,37312,37102,37112,37260,37486,37480
0500000US05011,5011,"Bradley County, Arkansas",11508,11505,11474,11437,11273,11129,11016,11007,10967,10853,10897
0500000US05013,5013,"Calhoun County, Arkansas",5368,5368,5362,5243,5278,5193,5168,5201,5142,5224,5277
0500000US05015,5015,"Carroll County, Arkansas",27446,27448,27551,27462,27621,27792,27735,27775,27753,27947,28223
0500000US05017,5017,"Chicot County, Arkansas",11800,11800,11800,11704,11501,11360,11202,10960,10892,10639,10438
0500000US05019,5019,"Clark County, Arkansas",22995,22993,22927,22927,22759,22588,22565,22517,22600,22180,22061
0500000US05021,5021,"Clay County, Arkansas",16083,16083,16049,15874,15708,15482,15297,15200,15051,14910,14847
0500000US05023,5023,"Cleburne County, Arkansas",25970,25981,26003,25890,25776,25641,25605,25361,25174,25046,24965
0500000US05025,5025,"Cleveland County, Arkansas",8689,8692,8678,8673,8608,8515,8398,8284,8249,8181,8018
0500000US05027,5027,"Columbia County, Arkansas",24552,24552,24725,24703,24407,24282,24046,24126,24049,23700,23537
0500000US05029,5029,"Conway County, Arkansas",21273,21270,21221,21127,21139,21085,20991,20930,20871,20848,20891
0500000US05031,5031,"Craighead County, Arkansas",96443,96443,96744,98392,99986,101644,102661,104419,105830,107037,108558
0500000US05033,5033,"Crawford County, Arkansas",61948,61948,61972,61807,61923,61679,61817,61910,62309,62917,63406
0500000US05035,5035,"Crittenden County, Arkansas",50902,50906,50959,50511,50075,49747,49577,49071,49345,48730,48342
0500000US05037,5037,"Cross County, Arkansas",17870,17878,17862,17808,17704,17523,17183,17254,17024,16852,16676
0500000US05039,5039,"Dallas County, Arkansas",8116,8122,8064,8053,7951,7892,7692,7531,7402,7354,7182
0500000US05041,5041,"Desha County, Arkansas",13008,13001,12953,12729,12588,12500,12270,12022,11899,11732,11512
0500000US05043,5043,"Drew County, Arkansas",18509,18517,18664,18732,18786,18683,18640,18617,18552,18373,18328
0500000US05045,5045,"Faulkner County, Arkansas",113237,113242,114031,116270,118523,119184,120567,121209,122100,123397,124806
0500000US05047,5047,"Franklin County, Arkansas",18125,18129,18135,18001,17952,17907,17820,17755,17669,17844,17810
0500000US05049,5049,"Fulton County, Arkansas",12245,12236,12215,12239,12170,12171,12083,12137,12096,12112,12269
0500000US05051,5051,"Garland County, Arkansas",96024,96000,96069,96852,96989,97653,97754,97816,98311,98444,99154
0500000US05053,5053,"Grant County, Arkansas",17853,17842,17886,17945,18036,18044,18073,18014,18059,18096,18188
0500000US05055,5055,"Greene County, Arkansas",42090,42090,42200,42757,43226,43160,43787,44298,44730,44977,45325
0500000US05057,5057,"Hempstead County, Arkansas",22609,22593,22597,22486,22344,22427,22338,22094,22036,21881,21741
0500000US05059,5059,"Hot Spring County, Arkansas",32923,33011,33229,33136,33497,33516,33400,33480,33419,33600,33701
0500000US05061,5061,"Howard County, Arkansas",13789,13775,13800,13820,13681,13557,13510,13353,13366,13377,13341
0500000US05063,5063,"Independence County, Arkansas",36647,36641,36810,36881,36951,36883,37079,37034,37118,37409,37678
0500000US05065,5065,"Izard County, Arkansas",13696,13701,13724,13569,13537,13406,13553,13483,13486,13680,13593
0500000US05067,5067,"Jackson County, Arkansas",17997,17998,18057,17887,17682,17733,17595,17371,17290,17057,16811
0500000US05069,5069,"Jefferson County, Arkansas",77435,77456,77339,76032,74642,73202,72469,71868,70400,69269,68114
0500000US05071,5071,"Johnson County, Arkansas",25540,25540,25552,25668,25909,25930,25971,26103,26150,26489,26742
0500000US05073,5073,"Lafayette County, Arkansas",7645,7643,7647,7535,7450,7285,7164,7015,6893,6822,6682
0500000US05075,5075,"Lawrence County, Arkansas",17415,17410,17518,17280,17040,17055,16971,16702,16649,16590,16434
0500000US05077,5077,"Lee County, Arkansas",10424,10428,10396,10293,10185,10013,9843,9676,9340,9147,8985
0500000US05079,5079,"Lincoln County, Arkansas",14134,14142,14090,14339,14181,14062,14030,13866,13724,13473,13383
0500000US05081,5081,"Little River County, Arkansas",13171,13168,13130,12943,12916,12739,12524,12421,12421,12393,12326
0500000US05083,5083,"Logan County, Arkansas",22353,22361,22309,22240,21924,22026,21859,21713,21725,21753,21737
0500000US05085,5085,"Lonoke County, Arkansas",68356,68355,68720,69497,70079,70715,71338,71336,71819,72878,73657
0500000US05087,5087,"Madison County, Arkansas",15717,15722,15684,15660,15596,15680,15733,15707,16112,16349,16481
0500000US05089,5089,"Marion County, Arkansas",16653,16646,16666,16672,16622,16443,16420,16211,16378,16460,16722
0500000US05091,5091,"Miller County, Arkansas",43462,43462,43561,43757,43660,43461,43566,43912,43842,43884,43592
0500000US05093,5093,"Mississippi County, Arkansas",46480,46480,46394,46024,45550,44697,44250,43715,42879,42073,41239
0500000US05095,5095,"Monroe County, Arkansas",8149,8155,8138,8098,7853,7690,7635,7453,7203,7052,6900
0500000US05097,5097,"Montgomery County, Arkansas",9487,9493,9506,9397,9337,9250,9158,9029,8949,8907,8924
0500000US05099,5099,"Nevada County, Arkansas",8997,9020,8998,9008,8910,8777,8651,8513,8380,8328,8326
0500000US05101,5101,"Newton County, Arkansas",8330,8327,8316,8262,8062,8054,7879,7858,7860,7837,7805
0500000US05103,5103,"Ouachita County, Arkansas",26120,26128,26047,25737,25401,24952,24763,24321,24015,23824,23606
0500000US05105,5105,"Perry County, Arkansas",10445,10441,10441,10377,10321,10328,10353,10298,10274,10335,10352
0500000US05107,5107,"Phillips County, Arkansas",21757,21755,21676,21407,20740,20443,19960,19557,19062,18564,18029
0500000US05109,5109,"Pike County, Arkansas",11291,11287,11264,11239,11252,11119,10987,10835,10825,10721,10673
0500000US05111,5111,"Poinsett County, Arkansas",24583,24577,24514,24445,24296,24185,24152,24016,24007,24121,23974
0500000US05113,5113,"Polk County, Arkansas",20662,20658,20671,20558,20420,20349,20255,20196,20151,20162,20049
0500000US05115,5115,"Pope County, Arkansas",61754,61754,62109,62676,62621,62583,63111,63577,63876,63655,64000
0500000US05117,5117,"Prairie County, Arkansas",8715,8716,8721,8597,8481,8374,8345,8297,8252,8250,8074
0500000US05119,5119,"Pulaski County, Arkansas",382748,382786,383576,386982,389257,391544,392990,393643,394386,393616,392680
0500000US05121,5121,"Randolph County, Arkansas",17969,17970,17956,17971,17839,17626,17568,17427,17427,17645,17948
0500000US05123,5123,"St. Francis County, Arkansas",28258,28254,28195,27989,27993,27510,27096,26654,26344,25938,25439
0500000US05125,5125,"Saline County, Arkansas",107118,107130,107653,109541,111430,113339,114861,116397,117695,119669,121421
0500000US05127,5127,"Scott County, Arkansas",11233,11218,11252,11238,11009,10911,10665,10540,10313,10374,10319
0500000US05129,5129,"Searcy County, Arkansas",8195,8189,8176,8071,7999,7985,7917,7831,7964,7947,7958
0500000US05131,5131,"Sebastian County, Arkansas",125744,125761,125761,127027,127597,127211,126784,127428,127477,127865,127753
0500000US05133,5133,"Sevier County, Arkansas",17058,17059,17150,17217,17190,17370,17429,17272,16980,17146,17139
0500000US05135,5135,"Sharp County, Arkansas",17264,17264,17251,17271,17035,17045,16822,16811,17014,17200,17366
0500000US05137,5137,"Stone County, Arkansas",12394,12396,12391,12499,12541,12423,12379,12380,12498,12517,12457
0500000US05139,5139,"Union County, Arkansas",41639,41639,41573,41398,40862,40606,40140,40093,39883,39420,39126
0500000US05141,5141,"Van Buren County, Arkansas",17295,17274,17287,17189,17136,16960,16880,16773,16629,16533,16603
0500000US05143,5143,"Washington County, Arkansas",203065,203046,204019,208038,211751,216011,219976,224491,228438,232780,236961
0500000US05145,5145,"White County, Arkansas",77076,77078,77348,78065,78629,78553,78459,78925,78967,78941,78727
0500000US05147,5147,"Woodruff County, Arkansas",7260,7264,7249,7176,7066,7031,6874,6721,6616,6600,6490
0500000US05149,5149,"Yell County, Arkansas",22185,22185,22149,21965,21830,21823,21774,21513,21501,21544,21535
0500000US06001,6001,"Alameda County, California",1510271,1510258,1513043,1530998,1554138,1580247,1608674,1634634,1650306,1658131,1666753
0500000US06003,6003,"Alpine County, California",1175,1175,1161,1093,1110,1127,1082,1087,1057,1121,1101
0500000US06005,6005,"Amador County, California",38091,38091,37884,37538,37101,36625,36738,37037,37438,38551,39383
0500000US06007,6007,"Butte County, California",220000,220002,219945,219952,220873,221664,223570,224812,226529,229207,231256
0500000US06009,6009,"Calaveras County, California",45578,45578,45468,45160,44821,44660,44673,44957,45303,45642,45602
0500000US06011,6011,"Colusa County, California",21419,21407,21437,21327,21294,21265,21198,21269,21553,21675,21627
0500000US06013,6013,"Contra Costa County, California",1049025,1049204,1052559,1065452,1077731,1093758,1109358,1124606,1137194,1144863,1150215
0500000US06015,6015,"Del Norte County, California",28610,28610,28568,28442,28189,27817,27198,27246,27422,27428,27828
0500000US06017,6017,"El Dorado County, California",181058,181058,181133,180918,180578,181497,183161,184660,186082,188722,190678
0500000US06019,6019,"Fresno County, California",930450,930496,932063,939479,945349,952029,961311,970442,977956,986542,994400
0500000US06021,6021,"Glenn County, California",28122,28122,28126,28144,27860,27826,27857,27776,27851,27956,28047
0500000US06023,6023,"Humboldt County, California",134623,134611,135000,135215,134560,134407,134514,135114,136314,136527,136373
0500000US06025,6025,"Imperial County, California",174528,174524,174730,175813,176678,176605,178233,179179,180268,181574,181827
0500000US06027,6027,"Inyo County, California",18546,18542,18512,18393,18353,18360,18320,18174,17996,17948,17987
0500000US06029,6029,"Kern County, California",839631,839619,841072,848140,853963,862557,869957,877197,882361,888988,896764
0500000US06031,6031,"Kings County, California",152982,152982,152381,151886,151026,150416,149603,150199,149509,149696,151366
0500000US06033,6033,"Lake County, California",64665,64664,64735,64247,63963,63809,64058,64254,63884,64162,64382
0500000US06035,6035,"Lassen County, California",34895,34895,34832,34238,33624,32126,31710,31383,30906,31123,30802
0500000US06037,6037,"Los Angeles County, California",9818605,9818672,9822433,9876727,9938436,9998105,10048408,10097037,10120540,10118759,10105518
0500000US06039,6039,"Madera County, California",150865,150841,151006,151702,151594,151470,153590,153739,154160,155904,157672
0500000US06041,6041,"Marin County, California",252409,252423,252905,255363,256072,258453,260435,261016,260633,259725,259666
0500000US06043,6043,"Mariposa County, California",18251,18247,18277,18168,17880,17808,17713,17622,17455,17437,17471
0500000US06045,6045,"Mendocino County, California",87841,87850,87800,87334,87304,87077,87257,87168,87382,87697,87606
0500000US06047,6047,"Merced County, California",255793,255796,256732,259333,260971,262198,264649,266651,267971,271340,274765
0500000US06049,6049,"Modoc County, California",9686,9686,9699,9512,9355,9149,9080,9048,8935,8848,8777
0500000US06051,6051,"Mono County, California",14202,14206,14257,14423,14334,14074,14142,14043,14202,14235,14250
0500000US06053,6053,"Monterey County, California",415057,415061,416396,420542,425000,427054,428980,431241,434767,435477,435594
0500000US06055,6055,"Napa County, California",136484,136578,136808,137750,138625,139706,140567,141096,141185,140386,139417
0500000US06057,6057,"Nevada County, California",98764,98745,98785,98697,98140,97952,98589,98709,98964,99503,99696
0500000US06059,6059,"Orange County, California",3010232,3010274,3016559,3050867,3080419,3108009,3130322,3153962,3170707,3179950,3185968
0500000US06061,6061,"Placer County, California",348432,348503,350026,356312,360277,365445,369326,373058,379288,385565,393149
0500000US06063,6063,"Plumas County, California",20007,20007,19914,19715,19374,18895,18662,18516,18772,18740,18804
0500000US06065,6065,"Riverside County, California",2189641,2189765,2201652,2234301,2261967,2288043,2317955,2347921,2382570,2417224,2450758
0500000US06067,6067,"Sacramento County, California",1418788,1418735,1421414,1433739,1445078,1457750,1475618,1494294,1511510,1527718,1540975
0500000US06069,6069,"San Benito County, California",55269,55265,55517,55982,56614,57267,57867,58243,59235,60199,61537
0500000US06071,6071,"San Bernardino County, California",2035210,2035201,2040910,2061040,2074195,2083871,2100776,2117311,2134174,2153203,2171603
0500000US06073,6073,"San Diego County, California",3095313,3095349,3103306,3137372,3175201,3211248,3250993,3284061,3310280,3325468,3343364
0500000US06075,6075,"San Francisco County, California",805235,805184,805550,815677,829027,839841,851116,863836,872795,879166,883305
0500000US06077,6077,"San Joaquin County, California",685306,685306,687156,694388,699782,702387,711771,721929,732185,742516,752660
0500000US06079,6079,"San Luis Obispo County, California",269637,269597,269805,271050,274184,275751,278296,280171,281958,282838,284010
0500000US06081,6081,"San Mateo County, California",718451,718518,719725,728404,739427,749013,757670,765447,768204,768808,769545
0500000US06083,6083,"Santa Barbara County, California",423895,423947,424235,425481,429825,434823,439358,442522,444675,445606,446527
0500000US06085,6085,"Santa Clara County, California",1781642,1781672,1786079,1812166,1838370,1867302,1892984,1917481,1929581,1933383,1937570
0500000US06087,6087,"Santa Cruz County, California",262382,262356,263167,264882,266416,268940,271035,273730,274702,275105,274255
0500000US06089,6089,"Shasta County, California",177223,177221,177277,177572,177868,178401,178905,178361,178581,179539,180040
0500000US06091,6091,"Sierra County, California",3240,3240,3221,3099,3067,3029,2980,2996,2957,3009,2987
0500000US06093,6093,"Siskiyou County, California",44900,44900,44938,44610,44073,43532,43379,43336,43479,43784,43724
0500000US06095,6095,"Solano County, California",413344,413298,413944,416305,419699,423749,429155,433708,439300,443877,446610
0500000US06097,6097,"Sonoma County, California",483878,483868,484776,487423,490071,494243,498803,501346,503249,503246,499942
0500000US06099,6099,"Stanislaus County, California",514453,514451,515165,517614,520594,523722,528346,533534,539542,545267,549815
0500000US06101,6101,"Sutter County, California",94737,94756,94753,94485,94210,94545,94830,95388,95898,96438,96807
0500000US06103,6103,"Tehama County, California",63463,63440,63565,63336,63227,62898,62788,63090,63352,63718,63916
0500000US06105,6105,"Trinity County, California",13786,13784,13754,13681,13486,13427,13123,13094,12830,12726,12535
0500000US06107,6107,"Tulare County, California",442179,442181,442994,446864,449975,452769,455602,457803,460023,463097,465861
0500000US06109,6109,"Tuolumne County, California",55365,55368,55191,54825,54218,54000,53828,53550,53704,54039,54539
0500000US06111,6111,"Ventura County, California",823318,823393,825130,830196,833801,838601,842946,846922,848921,850802,850967
0500000US06113,6113,"Yolo County, California",200849,200855,201083,201959,204623,206368,208518,212053,215530,218376,220408
0500000US06115,6115,"Yuba County, California",72155,72146,72350,72492,72792,73114,73562,74083,75002,76775,78041
0500000US08001,8001,"Adams County, Colorado",441603,441698,443698,452203,460648,470145,480263,490768,498249,504428,511868
0500000US08003,8003,"Alamosa County, Colorado",15445,15440,15932,16122,16095,16203,16220,16314,16461,16543,16683
0500000US08005,8005,"Arapahoe County, Colorado",572003,572130,574762,585844,596343,608209,618798,630637,638571,644132,651215
